,category,date,section,tags,title,topics,url
1000,Apps,2016-08-30,mobile/,"drew-houston,hacks",Dropbox employee’s password reuse led to theft of 60M+ user credentials,dropbox-inc,https://techcrunch.com/2016/08/30/dropbox-employees-password-reuse-led-to-theft-of-60m-user-credentials/
1005,Apps,2016-08-29,mobile/,david-drummond,Alphabet’s David Drummond leaves Uber’s board amid mounting competition,"alphabet,uber,apple",https://techcrunch.com/2016/08/29/alphabets-david-drummond-leaves-ubers-board-amid-mounting-competition/
1007,Apps,2016-09-07,gadgets/,iphone,Apple Music hits 17 million subscribers amid slowing iPhone sales,apple,https://techcrunch.com/2016/09/07/apple-music-hits-17-million-subscribers/
1016,Apps,2016-09-05,gadgets/,"wireless,bluetooth","Snapchat joins the Bluetooth SIG, fueling hardware speculation",snapchat,https://techcrunch.com/2016/09/05/snapchat-joints-the-bluetooth-sig-fueling-hardware-speculation/
1021,Apps,2016-06-30,enterprise/,"david-sacks,parker-conrad",Zenefits halves its previous valuation to $2B to head off investor lawsuits,zenefits,https://techcrunch.com/2016/06/30/zenefits-revalues-itself-at-2-billion-giving-later-shareholders-more-ownership/
1037,Apps,2016-06-22,enterprise/,drew-houston,"Dropbox launches a new way to scan documents with your phone, and other sharing features","box,dropbox-inc",https://techcrunch.com/2016/06/22/dropbox-launches-a-new-way-to-scan-documents-with-your-phone-and-other-sharing-features/
1040,Apps,2016-07-28,social/,"google-maps-app,facebook-messenger",SurveyMonkey study finds social media apps ruled mobile in first half of 2016,"youtube,snapchat",https://techcrunch.com/2016/07/28/surveymonkey-study-finds-social-media-apps-ruled-mobile-in-first-half-of-2016/
1041,Apps,2016-07-28,social/,"hololens,snapchat-lenses",Zuck says augmented reality will flourish on phones before glasses,"facebook,mark-zuckerberg",https://techcrunch.com/2016/07/28/pokemon-not-magic-leap/
1042,Apps,2016-07-28,social/,birthday,Facebook tightens iron grip on birthdays with recap videos,facebook,https://techcrunch.com/2016/07/28/facebook-birthday-videos/
1050,Apps,2016-07-25,social/,"sports,mlb-advanced-media",Twitter will livestream weekly games from MLB and the NHL,twitter,https://techcrunch.com/2016/07/25/twitter-mlb-nhl/
1091,Apps,2016-09-14,startups/,"techcrunch-disrupt-sf,techcrunch-disrupt-sf-2016,apoorva-mehta",How Apoorva Mehta hopes to build an Instacart empire with a promoted ad business,instacart,https://techcrunch.com/2016/09/14/how-apoorva-mehta-hopes-to-build-an-instacart-empire-with-a-promoted-ad-business/
1107,Apps,2016-08-29,mobile/,instagram-stories,Instagram Stories diverges from Snapchat by suggesting who to follow,"facebook,snapchat,instagram",https://techcrunch.com/2016/08/29/who-to-follow-on-instagram-stories/
1112,Apps,2016-08-25,mobile/,security-breach,Dropbox is resetting passwords for accounts that haven’t changed them since mid-2012,dropbox-inc,https://techcrunch.com/2016/08/25/dropbox-is-resetting-passwords-for-accounts-that-havent-changed-them-since-mid-2012/
1115,Apps,2016-08-25,mobile/,iphone,Apple may be building a Snapchat-like video app,"snapchat,apple",https://techcrunch.com/2016/08/25/apple-may-be-building-a-snapchat-like-video-app/
1117,Apps,2016-08-24,mobile/,"pokemon,google-play,pok%c3%a9mon-go","Pokémon Go is boosting competitor in-app purchase revenue, too",google,https://techcrunch.com/2016/08/24/pokemon-go-is-boosting-competitor-in-app-purchase-revenue-too/
1118,Apps,2016-08-24,mobile/,"mobile,ios-apps",Microsoft’s Word Flow keyboard takes on Google with integrated GIF and Bing search,microsoft,https://techcrunch.com/2016/08/24/microsofts-word-flow-keyboard-takes-on-google-with-integrated-gif-and-bing-search/
1155,Apps,2016-07-20,social/,"sunglasses,warby-parker",Warby Parker is offering Snapchat-exclusive sunglasses,snapchat,https://techcrunch.com/2016/07/20/warby-parker-snapchat-exclusive/
1159,Apps,2016-07-19,social/,prisma,Will photo art phenom Prisma raise or get bought?,"snapchat,instagram,facebook",https://techcrunch.com/2016/07/19/prismagram/
1161,Apps,2016-07-19,social/,bitmoji,Snapchat now lets you use Bitmojis in chat or on snaps,snapchat,https://techcrunch.com/2016/07/19/snapchat-bitmoji/
1163,Apps,2016-07-18,social/,"snapchat-stories,snapchat-memories",Snapchat “Suggest” is the new way to get famous,snapchat,https://techcrunch.com/2016/07/18/share-snapchat-profile/
1182,Apps,2016-05-24,asia/,"on-demand,food-delivery,ubereats","UberEATS launches in Singapore, its first Asian city",uber,https://techcrunch.com/2016/05/24/ubereats-launches-in-singapore-its-first-asian-city/
1198,Apps,2016-05-17,asia/,"smartphone,ios,developer-center",Apple is opening an app design and development accelerator in India,apple,https://techcrunch.com/2016/05/17/apple-is-opening-an-app-design-and-development-accelerator-in-india/
1200,Apps,2016-09-13,startups/,"crowley,swarm",Foursquare 10 puts search front and center,foursquare,https://techcrunch.com/2016/09/13/foursquare-10-puts-search-front-and-center/
1201,Apps,2016-09-13,startups/,"ios,imessage,confide",Confide brings self-destructing messaging to iMessage,apple,https://techcrunch.com/2016/09/13/confide-brings-self-desctructing-messaging-to-imessage/
1208,Apps,2016-09-12,startups/,"diversity,techcrunch-disrupt-2016,techcrunch-disrupt","Slack’s director of engineering, Leslie Miley, doesn’t believe in diversity quotas",slack,https://techcrunch.com/2016/09/12/slacks-director-of-engineering-leslie-miley-doesnt-believe-in-diversity-quotas/
